Clave,Descripcion
1423,Administrador de centro de fotocopiado
1524,Actuario judicial
4212,Acomodador de mercancÃ­a
6213,Abridor de ostiones
9237,Acomodador manual de vidrios
2135,Abogado mercantil
2175,Actor
9231,Abastecedor de material para fundir Ã¡ngulo y solera de fierro
9232,Abastecedor de quebradora de productos quÃ­micos
9234,Abastecedor de materia prima de muebles de madera
9235,Acomodador de hilos
9236,Acarreador de harina
1999,Administrador
2553,AcrÃ³bata ciclista
5254,Adiestrador de perros
7352,Adobador de cueros y pieles
9124,Acarreador de agua
1524,Agente del ministerio pÃºblico
2512,Agente de bolsa
2522,Agente aduanal
2523,Agente de recaudaciÃ³n tributaria
4211,Agente de ventas On line
4221,Agente de ventas de inmobiliario
4221,Agente de ventas de televisiÃ³n por cable
4222,Afiliador de afores
4222,Agente vendedor de afores
4223,Agente de ventas de inmobiliaria
5312,Agente de la policÃ­a estatal
5312,Agente de seguridad pÃºblica
5312,Agente estatal de seguridad
7222,Afilador de brocas
7222,Afilador de discos de molino
9112,Afanadora en granja porcina
6111,Agricultor de elote
6112,Agricultor de chilacayote
6112,Agricultor de lenteja
6112,Agricultor de yerbabuena
6113,Agricultor de tabaco
6114,Agricultor de guayaba
6114,Agricultor de maraÃ±on
6114,Agricultor de sandia
6116,Agricultor de aceitunas
6116,Agricultor de arroz
6116,Agricultor de comino
6116,Agricultor de maguey
6116,Agricultor de palma de aceite
6116,Agricultor de soya
3122,Agente de cobranza
6131,Agricultor apicultor
6131,Agricultor de maÃ­z y ganadero
9623,Afanador de un hotel
2511,Agente de compras
2521,Agente investigador
2522,Agente de migraciÃ³n
3212,Agente de centro de contacto
4213,Agente de ventas por telÃ©fono
4221,Agente de ventas de ropa de playa
4221,Agente vendedor
4222,Agente de seguros
4223,Agente de ventas de bienes raÃ­ces
2636,Afinador de instrumentos musicales
5312,Agente de policÃ­a y trÃ¡nsito
5312,Agente de trÃ¡nsito municipal
5312,Agente policiaco del estado
7222,Afilador de cuchillos y hachas en su domicilio
7222,Afilador de herramientas metÃ¡licas
5313,Agente de seguridad de centro comercial
6112,Agricultor de albahaca
6112,Agricultor de haba
6112,Agricultor de nabo
6112,Agricultor de espÃ¡rragos
6114,Agricultor de cÃ­tricos
6114,Agricultor de limÃ³n
6114,Agricultor de papaya
6114,Agricultor en el cultivo de mamey
6116,Agricultor de ajonjolÃ­
6116,Agricultor de buffel (pasto)
